Book,,Author,Time,Date Started,Date Ended,Days Taken,Min Per Day,Year,Pages,Speed,Year,Minutes,Google Book ID,Series,Speed Graph,URL,Ratings,Image Last Update,
The Emperor's Tomb,,Steve Berry,14:05:12,13-Sep-2012,22-Sep-2012,10,85,1-Nov-2010,480,48,2012,845,,Cotton Malone-8,[][][][],http://ecx.images-amazon.com/images/I/51vM9e-njxL._SL160.jpg,3,9-Feb-2016,
Peter Pan,,J. M. Barrie,05:40:13,23-Sep-2012,26-Sep-2012,4,85,1-Jan-1911,267,67,2012,340,,,[][][][],http://ecx.images-amazon.com/images/I/51va2vLL9AL._SL189.jpg,3,9-Feb-2016,
Postmortem,,Patricia Cornwell,11:27:48,27-Sep-2012,8-Oct-2012,12,57,9-Jan-1990,304,25,2012,688,,Scarpetta-1,[][][],http://ecx.images-amazon.com/images/I/415X4T3HTSL._SL246.jpg,3,9-Feb-2016,
Confession of a Shopaholic,,Sophie Kinsella,11:42:39,9-Oct-2012,13-Oct-2012,5,141,1-Jan-2000,312,62,2012,703,,Shopaholic-1,[][][][][][][],http://ecx.images-amazon.com/images/I/51z60DCsd1L._SL244.jpg,5,9-Feb-2016,
A Game of Thrones,,George R. R. Martin,33:46:21,14-Oct-2012,6-Nov-2012,24,84,1-Aug-1996,835,35,2012,"2,026",,Game of Thrones-1,[][][][],http://ecx.images-amazon.com/images/I/51ZIXVGSnlL._SL253.jpg,3,9-Feb-2016,
Heir to the Empire,,Timothy Zahn,13:09:00,7-Nov-2012,13-Nov-2012,7,113,1-Jan-1991,361,52,2012,789,,Star Wars: Thrawn-1,[][][][][][],http://ecx.images-amazon.com/images/I/5165GG7QHDL._SL256.jpg,5,9-Feb-2016,
The Power of One,,Bryce Courtenay,21:30:00,14-Nov-2012,26-Nov-2012,13,99,13-Mar-1990,533,41,2012,"1,290",,,[][][][][],http://ecx.images-amazon.com/images/I/41%2BVNTZDbFL._SL228.jpg,4,9-Feb-2016,
The Last Man,,Vince Flynn,11:54:00,27-Nov-2012,29-Nov-2012,3,238,13-Nov-2012,448,149,2012,714,,Mitch Rapp-13,[][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51d6BX%2B1-LL._SL233.jpg,4,9-Feb-2016,
Body of Evidence,,Patricia Cornwell,10:10:23,30-Nov-2012,8-Dec-2012,9,68,5-Feb-1991,256,28,2012,610,,Scarpetta-2,[][][],http://ecx.images-amazon.com/images/I/51njPG7VH8L._SL255.jpg,3,9-Feb-2016,
Angels and Demons,,Dan Brown,18:33:00,9-Dec-2012,19-Dec-2012,10,111,1-May-2000,480,48,2012,"1,113",d5xgYw4Ts0gC,Robert Langdon-1,[][][][][][],http://ecx.images-amazon.com/images/I/51MY9Q410WL._SL160.jpg,5,9-Feb-2016,
Harry Potter and the Philosopher's Stone,,J.K. Rowling,08:17:48,20-Dec-2012,24-Dec-2012,5,100,30-Jun-1997,223,45,2012,498,wrOQLV6xB-wC,Harry Potter-1,[][][][][],http://ecx.images-amazon.com/images/I/51SBCPRR1ZL._SL160.jpg,5,9-Feb-2016,
Harry Potter and the Chamber of Secrets,,J.K. Rowling,08:44:27,25-Dec-2012,31-Dec-2012,6,87,2-Jul-1998,341,57,2012,524,,Harry Potter-2,[][][][],http://ecx.images-amazon.com/images/I/513QPRA7E7L._SL160.jpg,4.5,9-Feb-2016,
Harry Potter and the Prisoner of Azkaban,,J.K. Rowling,11:48:09,1-Jan-2013,7-Jan-2013,6,118,8-Jul-1999,435,73,2013,708,wHlDzHnt6x0C,Harry Potter-3,[][][][][][],http://ecx.images-amazon.com/images/I/512t2MI-I3L._SL160.jpg,4.5,9-Feb-2016,
Harry Potter and the Goblet of Fire,,J.K. Rowling,20:36:25,8-Jan-2013,16-Jan-2013,8,155,8-Jul-2000,734,92,2013,"1,236",,Harry Potter-4,[][][][][][][][],http://ecx.images-amazon.com/images/I/51BKEV%2By7EL._SL160.jpg,4.5,9-Feb-2016,
Harry Potter and the Order of Phoenix,,J.K. Rowling,26:22:38,17-Jan-2013,26-Jan-2013,9,176,21-Jun-2003,870,97,2013,"1,583",,Harry Potter-5,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51BH8S8FKSL._SL160.jpg,4,9-Feb-2016,
Harry Potter and the Half Blood Prince,,J.K. Rowling,19:11:35,27-Jan-2013,12-Feb-2013,16,72,16-Jul-2005,652,41,2013,"1,152",,Harry Potter-6,[][][][],http://ecx.images-amazon.com/images/I/51JTPF5ZSNL._SL160.jpg,4.5,9-Feb-2016,
Harry Potter and the Deathly Hollows,,J.K. Rowling,21:38:30,13-Feb-2013,25-Feb-2013,12,108,21-Jul-2007,784,65,2013,"1,299",,Harry Potter-7,[][][][][],http://ecx.images-amazon.com/images/I/51CJ3bmBzlL._SL160.jpg,4.5,9-Feb-2016,
Shopaholic Takes Manhattan,,Sophie Kinsella,12:39:23,26-Feb-2013,11-Mar-2013,13,58,1-Jan-2001,388,30,2013,759,kA6Edy_qm1IC,Shopaholic-2,[][][],http://ecx.images-amazon.com/images/I/51hRO13mAvL._SL160.jpg,4,9-Feb-2016,
A Clash of Kings,,George R. R. Martin,37:12:00,12-Mar-2013,10-Apr-2013,29,77,2-Feb-1999,969,33,2013,"2,232",ZfiREZrremoC,Game of Thrones-2,[][][][],http://ecx.images-amazon.com/images/I/51WpEsAOmSL._SL241.jpg,4,9-Feb-2016,
Dark Force Rising,,Timothy Zahn,14:56:00,11-Apr-2013,15-Apr-2013,4,224,1-Jan-1992,376,94,2013,896,G1RpNwAACAAJ,Star Wars: Thrawn-2,[][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51JGkrC15TL._SL254.jpg,5,9-Feb-2016,
The Memoirs of Shelock Holmes,,Arthur Conan Doyle,09:21:00,16-Apr-2013,22-Apr-2013,6,94,1-Jan-1893,304,51,2013,561,5s7FycWq59gC,,[][][][][],http://ecx.images-amazon.com/images/I/41yd-6woM%2BL._SL238.jpg,3,9-Feb-2016,
The Return of Shelock Holmes,,Arthur Conan Doyle,12:12:00,23-Apr-2013,1-May-2013,8,92,1-Jan-1905,403,50,2013,732,fbhBUwPO0dQC,,[][][][][],http://ecx.images-amazon.com/images/I/41tTCcGLeEL._SL236.jpg,4,9-Feb-2016,
The Hound of the Baskervilles,,Arthur Conan Doyle,06:18:58,2-May-2013,8-May-2013,6,63,1-Jan-1902,359,60,2013,379,0WG2nQEACAAJ,,[][][],http://ecx.images-amazon.com/images/I/41rl9P14J6L._SL257.jpg,3,9-Feb-2016,
All That Remains,,Patricia Cornwell,09:50:00,9-May-2013,14-May-2013,5,118,17-Aug-1992,416,83,2013,590,rR3U1dINYY4C,Scarpetta-3,[][][][][][],http://ecx.images-amazon.com/images/I/51E7XW8TXVL._SL248.jpg,3,9-Feb-2016,
Inferno,,Dan Brown,17:12:00,15-May-2013,23-May-2013,8,129,14-May-2013,480,60,2013,"1,032",,Robert Langdon-4,[][][][][][],http://ecx.images-amazon.com/images/I/61ajWCV3yBL._SL235.jpg,4,9-Feb-2016,
Shopaholic Ties the Knot,,Sophie Kinsella,14:24:00,24-May-2013,1-Jun-2013,8,108,,416,52,2013,864,,Shopaholic-3,[][][][][],http://ecx.images-amazon.com/images/I/51gHIaBESIL._SL258.jpg,3,9-Feb-2016,
A Storm of Swords,,George R. R. Martin,47:40:00,2-Jun-2013,22-Jun-2013,20,143,31-Oct-2000,1177,59,2013,"2,860",,Game of Thrones-3,[][][][][][][],http://ecx.images-amazon.com/images/I/515g0ypFAlL._SL160.jpg,4,9-Feb-2016,
The Last Command,,Timothy Zahn,15:47:00,23-Jun-2013,27-Jun-2013,4,237,1-Jan-1993,467,117,2013,947,SEja6RC2GlUC,Star Wars: Thrawn-3,[][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51286N5TVCL._SL257.jpg,5,9-Feb-2016,
1984,,George Orwell,09:39:09,28-Jun-2013,3-Jul-2013,5,116,8-Jun-1949,326,65,2013,579,,,[][][][][][],http://ecx.images-amazon.com/images/I/31m701nQuZL._SL247.jpg,1,9-Feb-2016,
Cruel and Unusual,,Patricia Cornwell,11:50:00,4-Jul-2013,9-Jul-2013,5,142,10-Jun-1993,356,71,2013,710,,Scarpetta-4,[][][][][][][],http://ecx.images-amazon.com/images/I/51xMmqc7B%2BL._SL276.jpg,3,9-Feb-2016,
The Zombie Survival Guide,,Max Brooks,08:38:16,10-Jul-2013,13-Jul-2013,3,173,1-Jan-2003,288,96,2013,518,,Zombie-1,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51kfZ29lrGL._SL231.jpg,3,9-Feb-2016,
A Feast for Crows,,George R. R. Martin,33:56:00,14-Jul-2013,5-Aug-2013,22,93,8-Nov-2005,784,36,2013,"2,036",,Game of Thrones-4,[][][][][],http://ecx.images-amazon.com/images/I/312DWqiDikL._SL234.jpg,3,9-Feb-2016,
The Old Republic: Fatal Alliance,,Sean Williams,13:48:00,6-Aug-2013,14-Aug-2013,8,104,20-Jul-2010,429,54,2013,828,,Star Wars: Old Republic-3,[][][][][],https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3455/9780345511331.jpg,4,9-Feb-2016,
Under the Dome,,Stephen King,34:29:00,15-Aug-2013,30-Aug-2013,15,138,10-Nov-2009,1088,73,2013,"2,069",,,[][][][][][][],http://ecx.images-amazon.com/images/I/41PZik3LNWL._SL224.jpg,4,9-Feb-2016,
The Body Farm,,Patricia Cornwell,11:37:00,31-Aug-2013,4-Sep-2013,4,174,12-Sep-1994,320,80,2013,697,,Scarpetta-5,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51Ptw68pDqL._SL248.jpg,4,9-Feb-2016,
World War Z,,Max Brooks,13:49:00,5-Sep-2013,7-Sep-2013,2,415,1-Jan-2006,352,176,2013,829,,Zombie-2,[][][][][][][][][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51GYbjN5KsL._SL231.jpg,4,9-Feb-2016,
A Dance with Dragons,,George R. R. Martin,49:00:00,8-Sep-2013,3-Oct-2013,25,118,12-Jul-2011,1040,42,2013,"2,940",,Game of Thrones-5,[][][][][][],http://ecx.images-amazon.com/images/I/51AWpEvkLnL._SL233.jpg,3,9-Feb-2016,
Specter of the Past,,Timothy Zahn,14:31:00,4-Oct-2013,14-Oct-2013,10,87,3-Nov-1997,352,35,2013,871,,Star Wars: Hand of Thrawn-1,[][][][],http://ecx.images-amazon.com/images/I/51fFTi%2BLwkL._SL266.jpg,3,9-Feb-2016,
The Art of Racing in the Rain,,Garth Stein,06:57:17,15-Oct-2013,17-Oct-2013,2,209,1-Jan-2008,321,161,2013,417,,,[][][][][][][][][][],http://ecx.images-amazon.com/images/I/41XLuytKeUL._SL239.jpg,4,9-Feb-2016,
From Potter's Field,,Patricia Cornwell,09:00:47,18-Oct-2013,22-Oct-2013,4,135,2-Aug-1995,416,104,2013,541,,Scarpetta-6,[][][][][][][],http://ecx.images-amazon.com/images/I/51JQCAWJ11L._SL250.jpg,3,9-Feb-2016,
Relic,,"Douglas Preston, Lincoln Child",13:02:43,23-Oct-2013,28-Oct-2013,5,157,1-Feb-1995,382,76,2013,783,,Pendergast-1,[][][][][][][][],http://ecx.images-amazon.com/images/I/51WY1NNQCFL._SL248.jpg,5,9-Feb-2016,
The Eye of the World,,Robert Jordan,29:59:00,29-Oct-2013,8-Nov-2013,10,180,15-Jan-1990,814,81,2013,"1,799",,Wheel of Time-1,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51S2RRG3MFL._SL251.jpg,3,9-Feb-2016,
Scoundrels,,Timothy Zahn,13:59:00,9-Nov-2013,17-Nov-2013,8,105,1-Jan-2013,464,58,2013,839,,,[][][][][],http://ecx.images-amazon.com/images/I/51N-k6IbtVL._SL253.jpg,3,9-Feb-2016,
A Christmas Carol,,Charles Dickens,02:58:00,18-Nov-2013,18-Nov-2013,1,178,19-Dec-1843,110,110,2013,178,,,[][][][][][][][][],http://ecx.images-amazon.com/images/I/41PJRopwLrL._SL257.jpg,3,9-Feb-2016,
Cause of Death,,Patricia Cornwell,09:02:11,19-Nov-2013,21-Nov-2013,2,271,2-Jul-1996,340,170,2013,542,,Scarpetta-7,[][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51UzBMHC0eL._SL271.jpg,4,9-Feb-2016,
Allegiant,,Veronica Roth,11:51:07,22-Nov-2013,26-Nov-2013,4,178,22-Oct-2013,406,102,2013,711,,Divergent-3,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51C4TVE-R2L._SL225.jpg,3,9-Feb-2016,
Reliquary,,"Douglas Preston, Lincoln Child",13:48:49,27-Nov-2013,2-Dec-2013,5,166,1-May-1997,382,76,2013,829,,Pendergast-2,[][][][][][][][],http://ecx.images-amazon.com/images/I/51uBDUk2CzL._SL249.jpg,4,9-Feb-2016,
Can You Keep a Secret?,,Sophie Kinsella,10:43:58,3-Dec-2013,6-Dec-2013,3,215,1-Jan-2003,364,121,2013,644,,,[][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51T9hqwiXGL._SL245.jpg,4,9-Feb-2016,
Red Dragon,,Thomas Harris,12:08:04,7-Dec-2013,13-Dec-2013,6,121,1-Oct-1981,480,80,2013,728,,Hannibal-1,[][][][][][],http://ecx.images-amazon.com/images/I/51dyts9nF6L._SL233.jpg,5,9-Feb-2016,
The Silence of the Lambs,,Thomas Harris,10:34:10,14-Dec-2013,18-Dec-2013,4,159,19-May-1988,352,88,2013,634,,Hannibal-2,[][][][][][][][],http://ecx.images-amazon.com/images/I/51VnZKZ%2BzIL._SL224.jpg,4,9-Feb-2016,
Allegiance,,Timothy Zahn,12:48:43,19-Dec-2013,31-Dec-2013,12,64,1-Jan-2007,336,28,2013,769,,,[][][],http://ecx.images-amazon.com/images/I/51CHTX4gOoL._SL234.jpg,2,9-Feb-2016,
And Then There Were None,,Agatha Christie,06:02:07,1-Jan-2014,5-Jan-2014,4,91,6-Nov-1939,256,64,2014,362,,,[][][][][],http://ecx.images-amazon.com/images/I/41%2BBlIZT-LL._SL242.jpg,4,9-Feb-2016,
Einstein: His Life and Universe,,Walter Isaacson,07:18:54,6-Jan-2014,13-Jan-2014,7,63,1-Jan-2007,704,101,2014,439,,,[][][],http://ecx.images-amazon.com/images/I/51aQOSZp3xL._SL229.jpg,3,9-Feb-2016,
Unnatural Exposure,,Patricia Cornwell,11:04:00,14-Jan-2014,22-Jan-2014,8,83,14-Jul-1997,338,42,2014,664,,Scarpetta-8,[][][][],http://ecx.images-amazon.com/images/I/51H1QWS9xNL._SL248.jpg,3,9-Feb-2016,
Hannibal,,Thomas Harris,12:26:15,23-Jan-2014,3-Feb-2014,11,68,8-Jun-1999,484,44,2014,746,,Hannibal-3,[][][],http://ecx.images-amazon.com/images/I/515PMYH3GHL._SL228.jpg,3,9-Feb-2016,
The Cabinet of Curiosities,,"Douglas Preston, Lincoln Child",17:04:00,4-Feb-2014,11-Feb-2014,7,146,1-Jun-2002,466,67,2014,"1,024",,Pendergast-3,[][][][][][][],http://ecx.images-amazon.com/images/I/41CJTzHkcrL._SL253.jpg,5,9-Feb-2016,
Remember Me?,,Sophie Kinsella,13:26:00,12-Feb-2014,18-Feb-2014,6,134,1-Jan-2008,448,75,2014,806,,,[][][][][][][],http://ecx.images-amazon.com/images/I/51FQPpFU-lL._SL233.jpg,3,9-Feb-2016,
Zombie Fallout,,Mark Tufo,10:29:35,19-Feb-2014,25-Feb-2014,6,105,5-Feb-2010,324,54,2014,630,,Zombie Fallout-1,[][][][][],http://ecx.images-amazon.com/images/I/51Of-Y041sL._SL160.jpg,4,9-Feb-2016,
Micro,,Michael Crichton,13:55:00,26-Feb-2014,6-Mar-2014,8,104,1-Jan-2011,429,54,2014,835,,,[][][][][],http://ecx.images-amazon.com/images/I/41qVaGbfa6L._SL234.jpg,4,9-Feb-2016,
In Cold Blood,,Truman Capote,14:28:00,7-Mar-2014,17-Mar-2014,10,87,1-Jan-1965,343,34,2014,868,,,[][][][],http://ecx.images-amazon.com/images/I/51ANZRGl9IL._SL231.jpg,4,9-Feb-2016,
Point of Origin,,Patricia Cornwell,10:57:23,18-Mar-2014,24-Mar-2014,6,110,6-Jul-1998,356,59,2014,657,,Scarpetta-9,[][][][][][],http://ecx.images-amazon.com/images/I/51I8jdNs0AL._SL254.jpg,3,9-Feb-2016,
Hannibal Rising,,Thomas Harris,07:04:00,25-Mar-2014,28-Mar-2014,3,141,1-Dec-2006,323,108,2014,424,,Hannibal-3,[][][][][][][],http://ecx.images-amazon.com/images/I/517k6vI0ARL._SL229.jpg,3,9-Feb-2016,
Still Life with Crows,,"Douglas Preston, Lincoln Child",15:49:42,29-Mar-2014,7-Apr-2014,9,106,1-Jul-2003,435,48,2014,950,,Pendergast-4,[][][][][],http://ecx.images-amazon.com/images/I/21ai%2BC3wzRL._SL259.jpg,4,9-Feb-2016,
Spying in High Heels,,Gemma Halliday,09:05:29,8-Apr-2014,15-Apr-2014,7,78,1-Aug-2006,324,46,2014,545,,High Heels-1,[][][][],http://ecx.images-amazon.com/images/I/51uW6S8MmDL._SL238.jpg,4,9-Feb-2016,
Zombie Fallout 2: A Plague Upon Your Family,,Mark Tufo,10:57:37,16-Apr-2014,28-Apr-2014,12,55,29-Sep-2010,330,28,2014,658,,Zombie Fallout-2,[][][],http://ecx.images-amazon.com/images/I/51vqFUOr8VL._SL160_.jpg,4,9-Feb-2016,
Vision of the Future,,Timothy Zahn,26:18:10,29-Apr-2014,20-May-2014,21,75,1-Sep-1998,528,25,2014,"1,578",,Star Wars: Hand of Thrawn-2,[][][][],http://ecx.images-amazon.com/images/I/51lOrz4ymZL._SL254.jpg,4,9-Feb-2016,
The Shining,,Stephen King,15:51:00,21-May-2014,30-May-2014,9,106,1-Jan-1977,679,75,2014,951,,The Shining-1,[][][][][],http://ecx.images-amazon.com/images/I/51BGKFQTKVL._SL258.jpg,4,9-Feb-2016,
Term Limits,,Vince Flynn,15:34:00,31-May-2014,11-Jun-2014,11,85,1-Jan-1997,360,33,2014,934,,Mitch Rapp-0,[][][][],http://ecx.images-amazon.com/images/I/51c1gzaydQL._SL238.jpg,5,9-Feb-2016,
Black Notice,,Patricia Cornwell,12:21:00,12-Jun-2014,24-Jun-2014,12,62,2-Aug-1999,415,35,2014,741,,Scarpetta-10,[][][],http://ecx.images-amazon.com/images/I/51E6PjZmrSL._SL252.jpg,3,9-Feb-2016,
The Bourne Identity,,Robert Ludlum,22:20:06,25-Jun-2014,9-Jul-2014,14,96,1-Jan-1980,523,37,2014,"1,340",,Bourne-1,[][][][][],http://ecx.images-amazon.com/images/I/51woAEF8IEL._SL254.jpg,3,9-Feb-2016,
Brimstone,,"Douglas Preston, Lincoln Child",19:42:00,10-Jul-2014,23-Jul-2014,13,91,1-Aug-2004,499,38,2014,"1,182",,Pendergast-5,[][][][][],http://ecx.images-amazon.com/images/I/5182jUknGdL._SL248.jpg,4,9-Feb-2016,
Killer in High Heels,,Gemma Halliday,09:38:00,24-Jul-2014,2-Aug-2014,9,64,1-Mar-2007,310,34,2014,578,,High Heels-2,[][][],http://ecx.images-amazon.com/images/I/51CXpfELusL._SL248.jpg,3,9-Feb-2016,
Zombie Fallout 3: The End,,Mark Tufo,10:53:38,3-Aug-2014,7-Aug-2014,4,163,13-Mar-2011,338,85,2014,654,,Zombie Fallout-3,[][][][][][][][],http://ecx.images-amazon.com/images/I/51bXzWwShFL._SL246.jpg,4,9-Feb-2016,
Danny the Champion of the World,,Roald Dahl,04:28:07,8-Aug-2014,10-Aug-2014,2,134,1-Jan-1975,208,104,2014,268,,,[][][][][][][],http://ecx.images-amazon.com/images/I/513ueVcTkRL._SL160.jpg,4,9-Feb-2016,
The Stand,,Stephen King,47:47:00,11-Aug-2014,8-Sep-2014,28,102,1-Nov-1978,1153,41,2014,"2,867",,,[][][][][],http://ecx.images-amazon.com/images/I/51DQ3RBXJFL._SL224.jpg,4,9-Feb-2016,
Around the World in 80 Days,,Jules Verne,07:42:48,9-Sep-2014,12-Sep-2014,3,154,1-Jan-1873,220,73,2014,463,,,[][][][][][][][],http://ecx.images-amazon.com/images/I/51XZERHqTPL._SL235.jpg,4,9-Feb-2016,
The Hobbit,,J.R.R. Tolkien,11:04:14,13-Sep-2014,18-Sep-2014,5,133,1-Jan-1937,310,62,2014,664,,,[][][][][][][],http://ecx.images-amazon.com/images/I/6113XDPUrVL._SL160.jpg,4.5,9-Feb-2016,
The Fellowship of the Ring,,J.R.R. Tolkien,19:10:52,19-Sep-2014,27-Sep-2014,8,144,24-Jul-1954,531,66,2014,"1,151",,Lord of the Rings-1,[][][][][][][],http://ecx.images-amazon.com/images/I/41Ta5-vOB2L._SL160.jpg,4.5,9-Feb-2016,
Five People You Meet in Heaven,,Mitch Albom,04:38:32,28-Sep-2014,30-Sep-2014,2,139,1-Jan-2003,196,98,2014,279,,,[][][][][][][],http://ecx.images-amazon.com/images/I/41D9P3BZSWL._SL225.jpg,4,9-Feb-2016,
The Two Towers,,J.R.R. Tolkien,16:45:51,1-Oct-2014,11-Oct-2014,10,101,11-Nov-1954,464,46,2014,"1,006",,Lord of the Rings-2,[][][][][],http://ecx.images-amazon.com/images/I/31RYaLyTfTL._SL160.jpg,4.5,9-Feb-2016,
The Return of the King,,J.R.R. Tolkien,15:26:33,12-Oct-2014,17-Oct-2014,5,185,20-Oct-1955,416,83,2014,927,,Lord of the Rings-3,[][][][][][][][][],http://ecx.images-amazon.com/images/I/213PTkHsfXL._SL160.jpg,4.5,9-Feb-2016,
The Last Precinct,,Patricia Cornwell,17:19:13,18-Oct-2014,24-Oct-2014,6,173,13-Oct-2000,449,75,2014,"1,039",,Scarpetta-11,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51n0fWmHeIL._SL250.jpg,3,9-Feb-2016,
The Maze Runner,,James Dashner,10:51:21,25-Oct-2014,28-Oct-2014,3,217,1-Oct-2009,374,125,2014,651,,Maze Runner-1,[][][][][][][][][][][],http://ecx.images-amazon.com/images/I/61e65oyKToL._SL233.jpg,4.5,9-Feb-2016,
The Scorch Trials,,James Dashner,10:23:21,29-Oct-2014,29-Oct-2014,1,623,12-Oct-2010,384,384,2014,623,,Maze Runner-2,[][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51UtBokjHuL._SL233.jpg,4.5,9-Feb-2016,
The Death Cure,,James Dashner,08:55:00,30-Oct-2014,30-Oct-2014,1,535,12-Oct-2010,338,338,2014,535,,Maze Runner-3,[][][][][][][][][][][][][][][][][][][][][][][][][][][],https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9084/9781908435200.jpg,4,9-Feb-2016,
Gone Girl,,Gillian Flynn,19:11:00,1-Nov-2014,4-Nov-2014,3,384,12-Oct-2010,432,144,2014,"1,151",,,[][][][][][][][][][][][][][][][][][][],https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7802/9781780221359.jpg,3,9-Feb-2016,
Undercover in High Heels,,Gemma Halliday,09:10:00,5-Nov-2014,9-Nov-2014,4,138,12-Oct-2010,313,78,2014,550,,High Heels-3,[][][][][][][],http://ecx.images-amazon.com/images/I/51rI5L2mj4L._SL248.jpg,3,9-Feb-2016,
The Bourne Supremacy,,Robert Ludlum,27:41:00,10-Nov-2014,21-Nov-2014,11,151,12-Oct-2010,597,54,2014,"1,661",,Bourne-2,[][][][][][][][],http://ecx.images-amazon.com/images/I/51XTnW93RjL._SL160.jpg,3,9-Feb-2016,
Dance of Death,,"Douglas Preston, Lincoln Child",16:50:00,22-Nov-2014,30-Nov-2014,8,126,12-Oct-2010,560,70,2014,"1,010",,Pendergast-6,[][][][][][],http://ecx.images-amazon.com/images/I/51GEh3LbUwL._SL248.jpg,4,9-Feb-2016,
Zombie Fallout 3.5: Dr. Hugh Mann,,Mark Tufo,02:42:00,1-Dec-2014,1-Dec-2014,1,162,12-Oct-2010,103,103,2014,162,,Zombie Fallout-3.5,[][][][][][][][],http://ecx.images-amazon.com/images/I/51QHXKu8JxL._SL246.jpg,4,9-Feb-2016,
The BFG,,Roald Dahl,04:25:00,2-Dec-2014,3-Dec-2014,1,265,12-Oct-2010,208,208,2014,265,,,[][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51g8cUvIomL._SL224.jpg,4,9-Feb-2016,
The Legend of Sleepy Hallow,,Washington Irving,01:15:00,3-Dec-2014,3-Dec-2014,1,75,12-Oct-2010,50,50,2014,75,,,[][][][],http://ecx.images-amazon.com/images/I/51FD5X80N4L._SL231.jpg,1,9-Feb-2016,
The Day of the Jackal,,Fredrick Forsyth,13:21:00,4-Dec-2014,10-Dec-2014,6,134,12-Oct-2010,495,83,2014,801,,,[][][][][][][],http://ecx.images-amazon.com/images/I/51cqnsg8fkL._SL253.jpg,4,9-Feb-2016,
Blow Fly,,Patricia Cornwell,12:43:00,11-Dec-2014,21-Dec-2014,10,76,12-Oct-2010,526,53,2014,763,,Scarpetta-12,[][][][],http://ecx.images-amazon.com/images/I/41U9K8XEYEL._SL264.jpg,2,9-Feb-2016,
Transfer of Power,,Vince Flynn,16:48:00,22-Dec-2014,3-Jan-2015,13,78,1-Jan-1999,416,32,2015,"1,008",,Mitch Rapp-1,[][][][],http://ecx.images-amazon.com/images/I/51Am1og%2BeLL._SL100.jpg,4,9-Feb-2016,
The Third Option,,Vince Flynn,11:48:00,4-Jan-2015,7-Jan-2015,4,177,1-Jan-2000,358,90,2015,708,,Mitch Rapp-2,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51iYUG4NmUL._SL160.jpg,4,9-Feb-2016,
Separtion of Power,,Vince Flynn,14:00:00,8-Jan-2015,11-Jan-2015,4,210,1-Jan-2011,368,92,2015,840,,Mitch Rapp-3,[][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51F49uMyuVL._SL160.jpg,4,9-Feb-2016,
Executive Power,,Vince Flynn,13:03:00,12-Jan-2015,17-Jan-2015,6,131,6-May-2003,384,64,2015,783,,Mitch Rapp-4,[][][][][][][],http://ecx.images-amazon.com/images/I/517bhw-AtSL._SL160.jpg,4,9-Feb-2016,
Memorial Day,,Vince Flynn,13:20:00,18-Jan-2015,22-Jan-2015,5,160,1-Jan-2004,407,81,2015,800,,Mitch Rapp-5,[][][][][][][][],http://ecx.images-amazon.com/images/I/51lgCipe%2BKL._SL160.jpg,5,9-Feb-2016,
Consent to Kill,,Vince Flynn,17:16:00,23-Jan-2015,4-Feb-2015,13,80,11-Oct-2005,480,37,2015,"1,036",,Mitch Rapp-6,[][][][],http://ecx.images-amazon.com/images/I/51UkCU5qkgL._SL160.jpg,4,9-Feb-2016,
Act of Treason,,Vince Flynn,11:05:00,5-Feb-2015,11-Feb-2015,7,95,1-Jan-2006,415,59,2015,665,UzPUoSk3EHYC,Mitch Rapp-7,[][][][][],http://ecx.images-amazon.com/images/I/51Hk5-jSxLL._SL160.jpg,5,9-Feb-2016,
Protect and Defend,,Vince Flynn,10:16:00,12-Feb-2015,16-Feb-2015,5,123,1-Oct-2007,416,83,2015,616,,Mitch Rapp-8,[][][][][][],http://ecx.images-amazon.com/images/I/51xu7S-GjdL._SL228.jpg,4,9-Feb-2016,
Extreme Measures,,Vince Flynn,12:09:48,17-Feb-2015,22-Feb-2015,6,122,1-Oct-2008,416,69,2015,730,,Mitch Rapp-9,[][][][][][],http://ecx.images-amazon.com/images/I/51EAvCZOGcL._SL234.jpg,4,9-Feb-2016,
Pursuit of Honor,,Vince Flynn,11:50:00,23-Feb-2015,27-Feb-2015,5,142,1-Oct-2009,431,86,2015,710,,Mitch Rapp-10,[][][][][][][],http://ecx.images-amazon.com/images/I/51Irh6r-ntL._SL234.jpg,4,9-Feb-2016,
